Reservation_No,DateMade_Short,Arrive_Date_Short,Nights,TotalRate,Room Type,Room,City,State,Zip Code,Rate_Type
236,22/07/2016,25/07/2016,2,232.6,Upscale King,112,Green Cove Springs,FL,32043,Best Available Rate
237,22/07/2016,30/07/2016,1,69.69,Double ,108,Elkridge MD,,21075,Booking.com
242,22/07/2016,13/08/2016,1,109,Double ,206,Tampa,FL,33613,Best Available Rate
243,23/07/2016,16/08/2016,1,89,Double ,106,Nerviano,,20014,Best Available Rate
244,23/07/2016,23/07/2016,1,93,King,107,,,,Best Available Rate
256,25/07/2016,30/07/2016,2,148,King,205,Steele,,35987,Best Available Rate
356,25/07/2016,4/8/2016,1,153,Double ,104,santa croce sull&#39;arno,,56029,Best Available Rate
262,26/07/2016,30/07/2016,1,105,Upscale Jacuzzi King,111,Fort Myers,FL,33913,Best Available Rate
6036,13/10/2017,13/10/2017,1,118,Sweetheart King,102,Fort Myers,FL,33912,Best Available Rate
265,26/07/2016,9/9/2016,1,64.68,Double ,208,Bellevue,,98004,Expedia
266,26/07/2016,27/07/2016,1,71.75,Upscale King,112,Lake Worth,,33460,Booking.com
267,26/07/2016,27/07/2016,4,231,Double ,109,Bellevue,,98004,Expedia
268,26/07/2016,19/10/2016,4,304.92,Double ,206,Bellevue,,98004,Expedia
2314,10/1/2017,15/02/2017,5,690,King,201,Bandera,Texas,78003,Best Available Rate
271,27/07/2016,27/07/2016,1,71.75,Double ,101,goiania,,74354190,Booking.com
272,27/07/2016,27/07/2016,4,300,Double ,206,,,,Best Available Rate
323,30/07/2016,30/07/2016,1,91,Premier King,110,St Petersburg,,33706,Best Available Rate
274,27/07/2016,27/07/2016,1,76.88,Upscale Jacuzzi King,111,Fort White,,32038,Booking.com
276,27/07/2016,27/07/2016,3,109.4,King,103,Bellevue,,98004,Expedia
277,27/07/2016,27/07/2016,2,67.8,King,203,Bellevue,,98004,Expedia
278,27/07/2016,27/07/2016,3,235,King,201,,,,Best Available Rate
280,27/07/2016,8/8/2016,2,128,Double ,101,Lake Wales,Fl,33898,Best Available Rate
281,27/07/2016,27/07/2016,1,65,Double ,104,Tampa,FL,33609,Best Available Rate
282,27/07/2016,6/8/2016,1,85.84,Double ,104,Bellevue,,98004,Expedia
284,27/07/2016,29/07/2016,1,105,Upscale Jacuzzi King,111,Tampa,Fl,33605,Best Available Rate
286,28/07/2016,28/07/2016,1,71.75,Double ,208,stoke-on-trent,,ST4 7HE,Booking.com
287,28/07/2016,6/8/2016,1,109,Sweetheart King,102,Lake Mary,FL,32746,Best Available Rate
288,28/07/2016,12/10/2016,2,140.18,Double ,208,Bellevue,,98004,Expedia
291,28/07/2016,13/10/2016,1,67.42,Double ,206,Bellevue,,98004,Expedia
1360,18/10/2016,23/02/2017,4,484,Rubideaux Condo,Rub #4,Lake Mary,Fl,32746,Best Available Rate
300,28/07/2016,30/07/2016,1,60.6,King,201,Bellevue,,98004,Expedia
301,28/07/2016,13/11/2016,1,94,Upscale King,112,Pensacola,FL,32504,Best Available Rate
302,29/07/2016,8/9/2016,1,54.74,King,201,Bellevue,,98004,Expedia
303,29/07/2016,27/02/2017,3,249.7,King,212,Bellevue,,98004,Expedia
304,29/07/2016,16/08/2016,4,309.06,Double ,108,mclean,,22102,Booking.com
338,1/8/2016,1/8/2016,3,0,King,103,Gainesville,FL,32612,Best Available Rate
306,29/07/2016,29/07/2016,1,85,King,203,Henderson,NV,89074,Best Available Rate
307,29/07/2016,29/07/2016,1,70,Upscale King,112,Naples,Fl,34102,Best Available Rate
308,29/07/2016,29/07/2016,2,128.78,King,202,Bellevue,,98004,Expedia
309,29/07/2016,30/07/2016,1,69,Premier King,105,Palm Harbor,FL,34683,Best Available Rate
310,29/07/2016,29/07/2016,1,69.69,Double ,104,Tampa,,33605,Booking.com
315,29/07/2016,29/07/2016,1,69.69,Double ,210,freeport,,32439,Booking.com
316,29/07/2016,30/07/2016,1,54.74,Double ,106,Bellevue,,98004,Expedia
317,29/07/2016,30/07/2016,1,89,Upscale King,112,,,,Best Available Rate
514,13/08/2016,15/09/2016,1,74,Double ,208,Cape Coral,FL,33914,Best Available Rate
